Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,PlayerId,Team
Brandon Lowe ,420,64,22,66,6,0.237,0.32,100,20,1,51,125,0.453,0.773,7236 d,TB 
Andrew Benintendi ,529,71,10,55,11,0.269,0.336,142,29,2,54,92,0.387,0.723,5972 d,CWS 
Jarred Kelenic ,445,63,17,63,14,0.243,0.315,108,26,2,47,138,0.421,0.736,6884 d,ATL 
Anthony Rizzo ,457,65,22,67,4,0.238,0.312,109,20,1,49,109,0.427,0.739,4307 d,NYY 
Jack Suwinski ,430,64,23,67,9,0.227,0.327,97,20,2,64,155,0.445,0.772,44698 ,PIT 
Sal Frelick ,492,66,9,57,15,0.266,0.333,131,25,4,49,79,0.383,0.716,44675 ,MIL 
Brent Rooker ,474,62,26,70,3,0.229,0.304,109,22,1,51,176,0.438,0.742,7318 d,OAK 
J.P. Crawford ,548,80,13,59,3,0.255,0.346,140,30,1,77,109,0.386,0.732,4950 d,SEA 
Logan O'Hoppe ,407,57,23,64,3,0.252,0.322,102,17,1,43,98,0.467,0.79,43987 ,LAA 
Jake Cronenworth ,521,71,15,67,5,0.248,0.318,129,29,5,54,106,0.405,0.723,7868 d,SD 
Justin Turner ,478,64,16,68,3,0.256,0.319,122,26,0,45,98,0.412,0.732,4261 d,TOR 
Leody Taveras ,455,61,13,55,16,0.256,0.311,116,24,3,36,113,0.406,0.717,39153 ,TEX 
Maikel Garcia ,481,64,7,49,21,0.266,0.327,128,26,3,43,109,0.373,0.7,44626 ,KC 
Sean Murphy ,391,60,20,63,0,0.254,0.332,99,23,1,46,101,0.467,0.798,6609 d,ATL 
Wyatt Langford ,382,56,16,58,11,0.257,0.328,98,22,2,40,95,0.455,0.784,47238 ,TEX 
Jose Siri ,434,61,20,60,18,0.222,0.269,96,19,3,28,161,0.415,0.684,5727 d,TB 
Yoan Moncada ,504,65,17,63,3,0.25,0.317,126,27,1,50,157,0.412,0.729,5679 d,CWS 
Tim Anderson ,501,63,7,46,15,0.278,0.312,139,23,2,25,112,0.372,0.685,4956 d,MIA 
Gabriel Moreno ,440,55,10,58,6,0.281,0.336,124,24,1,36,89,0.412,0.748,44003 ,ARI 
Edouard Julien ,457,71,15,55,8,0.244,0.356,112,23,1,79,163,0.397,0.753,44887 ,MIN 
Francisco Alvarez ,418,58,24,67,2,0.229,0.306,96,17,0,47,123,0.438,0.744,43686 ,NYM 
Giancarlo Stanton ,389,54,26,68,0,0.229,0.309,89,14,0,45,130,0.466,0.775,3783 d,NYY 
Charlie Blackmon ,450,63,11,55,4,0.272,0.331,123,24,5,39,83,0.422,0.753,4418 d,COL 
Alex Verdugo ,465,63,13,56,4,0.265,0.322,123,26,2,39,81,0.414,0.736,5983 d,NYY 
Keibert Ruiz ,460,53,16,61,2,0.266,0.314,122,25,0,32,54,0.424,0.738,6912 d,WSH 
Tommy Pham ,419,60,14,53,14,0.248,0.325,104,21,2,47,112,0.409,0.733,5584 d,"LF,CF,RF,DH) FA "
Joc Pederson ,379,57,18,60,1,0.254,0.338,96,17,3,48,96,0.459,0.797,4769 d,ARI 
Javier Baez ,496,60,15,61,11,0.241,0.278,119,22,3,25,133,0.389,0.667,4606 d,DET 
Orlando Arcia ,464,61,16,61,2,0.25,0.309,116,22,0,40,98,0.402,0.712,4860 d,ATL 
Alek Thomas ,452,60,11,55,10,0.258,0.307,117,23,5,32,96,0.403,0.711,8265 d,ARI 
Seth Brown ,430,54,21,64,6,0.232,0.296,100,22,2,39,128,0.434,0.73,30700 ,OAK 
Luis Garcia ,441,55,11,53,7,0.273,0.315,121,24,3,27,71,0.413,0.728,7507 d,WSH 
Mark Canha ,438,61,12,55,7,0.258,0.335,113,23,2,51,88,0.402,0.737,5670 d,DET 
Brandon Marsh ,436,59,12,55,12,0.249,0.328,109,23,4,51,152,0.402,0.73,7393 d,PHI 
Brendan Donovan ,413,62,10,48,6,0.273,0.35,113,20,1,49,73,0.398,0.748,45005 ,STL 
Jonah Heim ,446,56,18,63,2,0.246,0.307,109,24,1,39,95,0.42,0.727,6457 d,TEX 
Jake Fraley ,344,50,14,52,15,0.252,0.335,87,17,1,43,86,0.434,0.769,8083 d,CIN 
Nolan Schanuel ,427,68,11,49,3,0.262,0.359,112,19,2,64,81,0.398,0.758,47177 ,LAA 
Mitch Haniger ,431,59,20,63,1,0.233,0.296,100,19,1,38,124,0.421,0.716,6481 d,SEA 
Hunter Renfroe ,416,54,19,60,1,0.246,0.305,102,24,0,35,100,0.44,0.746,4959 d,KC 
Mitch Garver ,395,55,21,60,1,0.235,0.324,93,17,0,52,118,0.438,0.762,6239 d,SEA 
Brenton Doyle ,449,57,14,53,19,0.233,0.275,104,19,4,26,161,0.386,0.661,45599 ,COL 
Michael Conforto ,424,58,15,58,3,0.247,0.333,105,20,0,54,108,0.404,0.737,5812 d,SF 
DJ LeMahieu ,481,65,12,52,3,0.255,0.334,123,20,2,57,102,0.377,0.711,4417 d,NYY 
Colt Keith ,438,56,14,58,3,0.253,0.316,111,24,3,40,110,0.419,0.735,43891 ,DET 
Anthony Rendon ,401,56,13,56,3,0.256,0.346,103,23,1,55,79,0.414,0.76,4291 d,LAA 
Jesus Sanchez ,400,52,17,57,3,0.248,0.315,99,19,3,39,115,0.437,0.751,6890 d,MIA 
LaMonte Wade Jr. ,403,60,16,53,3,0.243,0.342,98,17,2,61,92,0.414,0.756,7573 d,SF 
Ryan O'Hearn ,366,48,16,56,3,0.257,0.302,94,18,1,24,96,0.442,0.745,6681 d,BAL 
Gavin Lux ,401,59,10,48,8,0.259,0.332,104,20,4,44,93,0.398,0.731,7421 d,LAD 
Mike Yastrzemski ,415,60,17,56,4,0.23,0.316,96,24,2,52,122,0.42,0.736,8467 d,SF 
Ramon Laureano ,409,56,14,52,13,0.233,0.296,95,21,2,37,123,0.402,0.698,6740 d,CLE 
Henry Davis ,399,53,14,53,9,0.243,0.324,97,20,2,48,108,0.408,0.732,44666 ,PIT 
Harrison Bader ,378,51,11,45,20,0.243,0.291,92,17,2,26,81,0.387,0.679,6480 d,NYM 
Masyn Winn ,438,59,10,49,13,0.246,0.301,107,19,3,35,94,0.373,0.675,43906 ,STL 
Luis Campusano ,412,50,14,56,1,0.258,0.307,106,19,1,29,80,0.412,0.719,7455 d,SD 
Jordan Westburg ,389,53,13,51,6,0.251,0.312,98,22,2,34,105,0.417,0.729,43831 ,BAL 
Matt Wallner ,388,55,17,57,3,0.231,0.317,90,21,2,49,150,0.423,0.74,43696 ,MIN 
Jackson Holliday ,411,58,8,47,10,0.258,0.341,106,21,3,52,103,0.384,0.725,46268 ,BAL 
Parker Meadows ,462,61,13,51,13,0.229,0.298,106,20,6,45,125,0.38,0.678,7993 d,DET 
Ryan Noda ,443,64,18,55,6,0.216,0.328,96,21,1,73,173,0.385,0.713,44240 ,OAK 
Willi Castro ,373,52,10,41,21,0.247,0.297,92,18,3,27,98,0.388,0.685,5997 d,MIN 
Luke Raley ,365,51,17,51,9,0.23,0.289,84,16,1,30,127,0.414,0.703,8040 d,SEA 
Nelson Velazquez ,356,48,18,52,7,0.234,0.295,83,17,1,31,118,0.439,0.735,45006 ,KC 
Andrew McCutchen ,400,56,13,50,8,0.241,0.34,96,20,1,60,101,0.392,0.732,3052 d,PIT 
Wilyer Abreu ,359,52,13,49,9,0.244,0.335,87,19,1,49,107,0.413,0.748,45630 ,BOS 
Adam Duvall ,361,47,20,58,3,0.223,0.277,81,17,1,27,123,0.45,0.726,5317 d,"CF,RF) FA "
Wilmer Flores ,358,48,15,52,0,0.257,0.326,92,18,1,36,60,0.439,0.765,4257 d,SF 
Will Benson ,348,55,13,45,15,0.226,0.33,79,16,4,54,128,0.408,0.738,6408 d,CIN 
Michael Massey ,396,48,13,52,6,0.249,0.295,99,22,1,26,93,0.413,0.709,45756 ,KC 
Carlos Santana ,420,55,16,57,3,0.23,0.322,96,20,1,57,86,0.394,0.715,3162 d,MIN 
Alex Kirilloff ,352,47,13,50,2,0.262,0.323,92,18,1,32,91,0.429,0.751,6414 d,MIN 
Danny Jansen ,316,46,18,54,1,0.237,0.305,75,16,0,31,74,0.465,0.769,7237 d,TOR 
Elehuris Montero ,344,45,16,51,1,0.253,0.302,87,17,1,24,108,0.447,0.75,39212 ,COL 
Rowdy Tellez ,356,44,17,56,1,0.241,0.316,86,16,1,39,84,0.438,0.754,5030 d,PIT 
Whit Merrifield ,369,48,7,42,17,0.258,0.304,95,19,1,24,68,0.375,0.679,6338 d,PHI 
Chris Taylor ,358,51,13,49,11,0.232,0.311,83,18,2,41,129,0.402,0.713,4888 d,LAD 
Mickey Moniak ,387,49,16,50,6,0.235,0.272,91,18,4,20,131,0.424,0.696,8368 d,LAA 
Bo Naylor ,362,50,15,51,7,0.228,0.324,83,18,2,51,104,0.413,0.737,7925 d,CLE 
Brett Baty ,390,51,14,50,3,0.241,0.308,94,17,0,38,116,0.392,0.7,20757 ,NYM 
Brice Turang ,403,50,8,42,19,0.241,0.31,97,17,3,40,92,0.357,0.667,6817 d,MIL 
Tyler Stephenson ,369,48,12,49,1,0.256,0.324,94,19,1,37,103,0.408,0.732,6024 d,CIN 
Edward Olivares ,332,45,10,40,10,0.262,0.31,87,18,2,23,65,0.425,0.734,7536 d,PIT 
Eddie Rosario ,363,44,13,51,5,0.247,0.297,89,17,2,26,85,0.412,0.709,4556 d,WSH 
Davis Schneider ,326,48,15,48,5,0.233,0.329,76,18,1,47,105,0.437,0.766,45729 ,TOR 
Shea Langeliers ,397,48,18,54,3,0.222,0.281,88,18,2,33,124,0.413,0.694,8246 d,OAK 
Elias Diaz ,385,44,13,51,1,0.253,0.304,97,19,1,28,92,0.408,0.712,5591 d,COL 
Sean Bouchard ,299,44,12,42,6,0.254,0.336,76,18,2,37,92,0.455,0.791,45512 ,COL 
Joey Gallo ,360,52,22,55,3,0.188,0.306,68,12,1,61,163,0.412,0.718,4711 d,WSH 
Matt Vierling ,376,48,9,39,8,0.257,0.316,97,17,3,33,85,0.389,0.705,10043 ,DET 
Kyle Manzardo ,354,46,14,51,1,0.237,0.319,84,21,1,42,85,0.42,0.739,44758 ,CLE 
Kyle Isbel ,350,48,9,41,11,0.246,0.3,86,20,3,27,80,0.394,0.694,8285 d,KC 
Liover Peguero ,380,46,9,42,14,0.242,0.288,92,18,2,25,98,0.373,0.661,43656 ,PIT 
Jon Berti ,339,46,6,31,20,0.258,0.323,87,15,2,33,77,0.368,0.691,6776 d,MIA 
Amed Rosario ,341,44,6,38,10,0.269,0.306,92,16,4,18,66,0.391,0.697,5994 d,TB 
Junior Caminero ,285,38,12,42,3,0.266,0.317,76,11,2,21,64,0.439,0.756,45016 ,TB 
Kevin Kiermaier ,367,49,8,40,11,0.244,0.3,90,19,4,29,93,0.38,0.68,5131 d,TOR 
Ryan Jeffers ,320,43,15,45,2,0.234,0.308,75,14,1,34,101,0.425,0.734,8660 d,MIN 
Michael Busch ,337,46,13,45,2,0.237,0.311,80,17,1,36,103,0.409,0.72,23859 ,CHC 
