Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
Colten Brewer ,11.3,10,0,0,4.95,1.52,6,11,6,2,10,0,0,0,7340 d,CHC 
Ken Giles ,18.0,20,1,0,5.24,1.63,10,18,11,3,18,0,1,0,5506 d,ATL 
Jorge Benitez ,14.0,13,1,0,5.24,1.66,8,14,9,2,14,0,1,0,47283 ,BOS 
Dakota Chalmers ,6.0,5,0,0,5.19,1.58,3,6,4,1,6,0,0,0,39275 ,ARI 
Ryan Feltner ,98.6,83,5,0,5.26,1.50,58,106,42,16,20,20,7,0,44878 ,COL 
Alan Busenitz ,8.9,8,0,0,5.32,1.50,5,10,4,2,8,0,1,0,6454 d,CIN 
Jose Urena ,24.7,18,1,0,5.08,1.53,14,27,10,4,15,2,2,0,5190 d,TEX 
Daniel Castano ,8.7,6,0,0,5.17,1.50,5,10,3,2,3,1,0,0,7377 d,"RP,SP) FA "
Austin Davis ,7.5,7,0,0,5.42,1.53,5,7,5,1,6,0,0,0,7985 d,SD 
Jordan Lyles ,138.2,98,6,0,5.39,1.42,83,153,43,25,31,23,10,2,3567 d,KC 
Brett Kerry ,7.5,5,0,0,5.52,1.49,5,8,3,1,2,1,1,0,46139 ,LAA 
Chase De Jong ,20.3,16,1,0,5.51,1.51,12,21,10,4,11,1,1,0,6218 d,RP) FA 
Hobie Harris ,14.5,12,1,0,5.34,1.66,9,16,8,2,13,0,1,0,44370 ,MIN 
John Curtiss ,26.9,23,1,0,5.39,1.50,16,29,11,5,27,0,1,0,7312 d,COL 
Brenan Hanifee ,29.3,17,1,0,4.79,1.55,16,31,14,4,29,0,2,1,47069 ,DET 
Chad Kuhl ,24.5,22,1,0,5.39,1.53,15,25,13,4,22,1,2,0,6422 d,CWS 
Noah Skirrow ,7.0,5,0,0,5.80,1.52,5,8,3,1,1,1,1,0,45260 ,PHI 
Justin Dunn ,30.4,25,1,0,5.38,1.48,18,31,14,5,6,6,2,0,6419 d,SP) FA 
