Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
Travis Shaw ,99,13,4,15,0,0.23,0.31,23,5,0,12,29,0.417,0.727,0.0,0.0,0.0,5639,"1B,3B) FA "
Marwin Gonzalez ,113,14,4,13,1,0.232,0.293,26,5,0,10,29,0.372,0.665,0.0,0.0,0.0,4336,NYY 
Luis Rengifo ,98,13,3,11,2,0.245,0.308,24,4,1,9,21,0.396,0.703,0.01,0.01,0.0,8153,LAA 
Guillermo Heredia ,134,18,3,13,1,0.228,0.297,30,8,0,13,35,0.35,0.647,0.0,0.0,0.0,6057,ATL 
Ryan O'Hearn ,100,12,4,14,0,0.236,0.302,24,5,0,9,29,0.418,0.72,0.0,0.0,0.0,6681,KC 
Matt Carpenter ,121,16,4,15,1,0.208,0.314,25,6,0,19,41,0.368,0.682,0.0,0.0,0.0,4386,NYY 
Nick Allen ,134,15,2,12,3,0.233,0.279,31,7,1,9,31,0.343,0.622,0.0,0.0,0.0,40272,OAK 
Pedro Severino ,105,12,4,14,0,0.239,0.305,25,5,0,10,29,0.389,0.693,0.0,0.0,0.0,5844,MIL 
Jake Marisnick ,101,13,3,12,2,0.227,0.274,23,5,1,7,33,0.384,0.659,0.0,0.0,0.0,4557,PIT 
Alan Trejo ,92,12,3,11,1,0.249,0.292,23,5,0,6,23,0.415,0.707,0.0,0.0,0.0,8563,COL 
Jose Devers ,94,12,2,10,1,0.263,0.317,25,5,1,7,20,0.393,0.71,0.0,0.0,0.0,7355,MIA 
Wilson Ramos ,83,10,3,12,0,0.266,0.315,22,4,0,6,16,0.421,0.736,0.0,0.0,0.0,4013,C) FA 
Jake Lamb ,101,14,4,15,0,0.213,0.3,21,5,0,12,32,0.38,0.679,0.0,0.0,0.0,5546,LAD 
Heliot Ramos ,90,11,3,10,2,0.24,0.293,22,4,0,7,28,0.391,0.684,0.01,0.02,0.0,10033,SF 
Hoy Park ,94,13,2,10,2,0.24,0.334,23,5,0,13,25,0.368,0.702,0.0,0.0,0.0,44226,PIT 
Nolan Jones ,93,13,3,11,1,0.232,0.319,22,5,0,12,33,0.391,0.71,0.01,0.01,0.0,10128,CLE 
Willians Astudillo ,94,11,3,12,0,0.256,0.294,24,4,0,5,8,0.416,0.709,0.0,0.0,0.0,7055,MIA 
Joe Panik ,124,14,2,12,1,0.242,0.304,30,6,0,11,18,0.337,0.642,0.0,0.0,0.0,4770,"1B,2B,3B) RET "
Dustin Garneau ,100,13,5,13,0,0.209,0.274,21,5,0,9,32,0.398,0.672,0.0,0.0,0.0,5824,DET 
Bryan Lavastida ,88,12,2,11,2,0.243,0.306,21,5,0,8,23,0.379,0.685,0.0,0.0,0.0,44355,CLE 
Drew Ellis ,112,14,4,14,0,0.219,0.296,24,6,0,12,35,0.376,0.672,0.0,0.0,0.0,7412,ARI 
Danny Mendick ,100,12,2,11,1,0.253,0.314,25,5,0,9,23,0.379,0.693,0.0,0.0,0.0,8443,CWS 
Luke Maile ,128,15,3,13,1,0.212,0.281,27,6,0,12,41,0.324,0.605,0.0,0.0,0.0,5834,CLE 
Chris Owings ,99,11,3,10,3,0.212,0.273,21,4,1,8,34,0.36,0.633,0.0,0.0,0.0,4258,BAL 
Tyler Nevin ,84,10,3,10,1,0.237,0.3,20,4,0,8,20,0.386,0.686,0.0,0.0,0.0,8294,BAL 
Cam Gallagher ,105,12,2,11,0,0.244,0.301,26,6,0,9,22,0.364,0.665,0.0,0.0,0.0,6582,KC 
Luis Campusano ,80,10,3,10,0,0.244,0.304,20,4,0,7,20,0.393,0.697,0.01,0.01,0.0,7455,SD 
Zack Collins ,80,11,3,12,0,0.22,0.316,18,4,0,11,28,0.396,0.713,0.02,0.02,0.01,5022,TOR 
Willi Castro ,80,10,2,8,2,0.247,0.289,20,4,1,5,20,0.4,0.689,0.02,0.02,0.01,5997,DET 
William Contreras ,67,9,3,10,0,0.249,0.312,17,3,0,6,19,0.437,0.749,0.25,0.38,0.12,7659,ATL 
Seby Zavala ,89,11,4,12,0,0.219,0.277,19,4,0,7,32,0.394,0.67,0.0,0.0,0.0,7878,CWS 
Renato Nunez ,72,10,3,11,0,0.234,0.289,17,3,0,6,21,0.42,0.709,0.01,0.01,0.0,4879,"1B,3B) FA "
Lucius Fox ,71,9,2,8,3,0.237,0.309,17,4,0,7,18,0.368,0.677,0.0,0.0,0.0,6053,WSH 
Wilmer Difo ,101,12,2,10,1,0.241,0.301,24,4,1,9,25,0.357,0.658,0.0,0.0,0.0,5657,"2B,3B,RF) FA "
Andrew Velazquez ,70,9,2,7,4,0.226,0.285,16,4,1,6,23,0.364,0.65,0.01,0.01,0.01,6228,LAA 
Ernie Clement ,95,12,1,9,1,0.251,0.298,24,5,0,6,16,0.355,0.652,0.0,0.0,0.0,8532,CLE 
Brock Holt ,108,13,1,10,2,0.234,0.305,25,5,0,11,24,0.321,0.626,0.0,0.0,0.0,4492,3B) FA 
Miguel Andujar ,64,8,3,9,0,0.264,0.301,17,3,0,3,12,0.452,0.754,0.01,0.01,0.0,6570,NYY 
Andrew Knapp ,116,13,3,13,0,0.212,0.296,25,5,0,14,40,0.331,0.627,0.0,0.0,0.0,4996,SEA 
Eric Sogard ,95,11,2,9,1,0.24,0.297,23,4,0,8,17,0.337,0.634,0.0,0.0,0.0,3333,"2B,3B) FA "
Yonny Hernandez ,73,10,0,5,5,0.24,0.335,18,3,0,10,16,0.296,0.631,0.0,0.0,0.0,8614,ARI 
Garrett Stubbs ,93,12,2,10,1,0.223,0.298,21,4,0,10,24,0.348,0.645,0.0,0.0,0.0,6761,PHI 
Richie Martin ,98,10,2,8,3,0.222,0.273,22,4,1,7,27,0.334,0.607,0.0,0.0,0.0,6607,BAL 
Payton Henry ,103,11,3,11,0,0.225,0.279,23,5,0,8,34,0.362,0.641,0.0,0.0,0.0,8494,MIA 
Max Schrock ,72,9,2,8,1,0.252,0.301,18,3,0,5,15,0.387,0.688,0.0,0.0,0.0,6483,CIN 
Juan Lagares ,76,9,2,8,1,0.248,0.286,19,4,0,4,20,0.377,0.663,0.0,0.0,0.0,4263,LAA 
Michael Perez ,112,12,3,13,0,0.207,0.278,23,5,0,11,34,0.348,0.627,0.0,0.0,0.0,8029,PIT 
Jonathan Arauz ,54,8,2,7,1,0.256,0.314,14,3,0,5,12,0.418,0.732,0.0,0.0,0.0,9947,BOS 
Derek Hill ,67,8,2,7,2,0.234,0.283,16,2,1,5,22,0.374,0.657,0.0,0.0,0.0,10000,DET 
Lewis Brinson ,76,9,2,10,1,0.222,0.266,17,3,0,5,22,0.366,0.632,0.0,0.0,0.0,4834,HOU 
Evan White ,64,8,3,9,0,0.227,0.286,15,3,0,5,20,0.407,0.693,0.0,0.0,0.0,7225,SEA 
Emmanuel Rivera ,69,8,2,8,1,0.252,0.297,17,4,0,4,15,0.399,0.696,0.01,0.02,0.01,44159,KC 
Daz Cameron ,64,8,2,7,2,0.231,0.294,15,3,0,6,20,0.397,0.691,0.0,0.0,0.0,6018,DET 
Jake Hager ,76,9,2,8,1,0.24,0.299,18,4,0,6,20,0.373,0.672,0.0,0.0,0.0,6671,ARI 
Sandy Leon ,123,12,4,13,0,0.199,0.258,24,4,0,10,37,0.319,0.577,0.0,0.0,0.0,4618,CIN 
Jarrod Dyson ,71,9,1,6,4,0.214,0.278,15,3,1,6,17,0.311,0.588,0.0,0.0,0.0,3446,"LF,CF,RF) FA "
Nick Fortes ,65,8,2,8,1,0.239,0.295,15,3,0,5,13,0.381,0.676,0.0,0.0,0.0,8673,MIA 
Alfonso Rivas ,76,10,1,8,0,0.248,0.321,19,4,0,8,21,0.354,0.675,0.01,0.01,0.01,44183,CHC 
Austin Romine ,83,9,2,10,0,0.23,0.272,19,3,0,5,25,0.35,0.622,0.0,0.0,0.0,3074,LAA 
Adam Haseley ,61,7,2,7,1,0.242,0.291,15,3,0,4,14,0.358,0.65,0.0,0.0,0.0,7164,CWS 
TJ Friedl ,52,7,2,6,1,0.252,0.318,13,2,0,5,11,0.396,0.715,0.0,0.0,0.0,8358,CIN 
Josh Jung ,50,7,2,7,0,0.257,0.313,13,3,0,4,13,0.437,0.749,0.02,0.03,0.01,23130,TEX 
Dexter Fowler ,66,9,2,8,1,0.216,0.302,14,3,0,8,20,0.353,0.654,0.0,0.0,0.0,3297,RF) FA 
Luke Raley ,60,8,2,8,1,0.223,0.271,13,3,0,4,21,0.401,0.672,0.0,0.0,0.0,8040,TB 
Ryan Vilade ,62,8,1,6,1,0.254,0.301,16,3,0,4,13,0.362,0.663,0.0,0.0,0.0,7483,COL 
Estevan Florial ,55,8,2,7,1,0.221,0.293,12,2,0,6,20,0.394,0.686,0.0,0.0,0.0,6852,NYY 
Michael Stefanic ,57,7,1,6,1,0.263,0.317,15,3,0,5,10,0.374,0.692,0.0,0.0,0.0,44937,LAA 
Matt Joyce ,67,9,2,8,0,0.22,0.322,15,3,0,10,19,0.356,0.678,0.0,0.0,0.0,3729,"LF,RF) FA "
Jose Herrera ,75,9,2,8,0,0.224,0.301,17,3,0,8,21,0.354,0.655,0.0,0.0,0.0,44302,ARI 
Ryan McKenna ,60,8,2,7,1,0.221,0.3,13,3,0,7,21,0.364,0.664,0.0,0.0,0.0,8020,BAL 
Shogo Akiyama ,72,8,1,6,1,0.245,0.315,18,4,0,7,17,0.329,0.644,0.0,0.0,0.0,42976,SD 
Jared Oliva ,63,7,1,6,2,0.236,0.29,15,3,1,5,18,0.363,0.653,0.0,0.0,0.0,10188,PIT 
Tres Barrera ,67,8,2,8,0,0.226,0.299,15,3,0,7,17,0.353,0.652,0.0,0.0,0.0,8516,WSH 
Anthony Bemboom ,74,9,2,8,0,0.214,0.283,16,3,0,7,22,0.353,0.636,0.0,0.0,0.0,7072,BAL 
Skye Bolt ,70,8,2,7,1,0.214,0.286,15,4,0,7,22,0.354,0.64,0.0,0.0,0.0,8156,OAK 
Gregory Polanco ,44,6,2,6,1,0.229,0.302,10,2,0,5,14,0.405,0.707,0.0,0.0,0.0,4705,RF) FA 
Yusniel Diaz ,75,9,2,8,1,0.208,0.269,15,3,0,6,24,0.351,0.62,0.0,0.0,0.0,6031,BAL 
Jacob Nottingham ,65,8,2,8,1,0.198,0.255,13,2,0,5,25,0.34,0.594,0.0,0.0,0.0,5982,BAL 
Jason Vosler ,50,7,2,6,0,0.242,0.308,12,3,0,5,13,0.419,0.726,0.0,0.0,0.0,7623,SF 
Travis Jankowski ,58,8,0,5,2,0.239,0.329,14,2,0,8,14,0.291,0.62,0.0,0.0,0.0,5825,NYM 
Ronald Torreyes ,64,7,1,7,0,0.244,0.284,16,3,0,4,9,0.345,0.628,0.0,0.0,0.0,4811,"2B,3B,SS) FA "
Andrew Stevenson ,55,7,1,6,1,0.245,0.298,13,3,0,4,16,0.358,0.656,0.0,0.0,0.0,7098,WSH 
Rylan Bannon ,46,6,2,6,1,0.222,0.295,10,2,0,5,12,0.369,0.664,0.0,0.0,0.0,8006,BAL 
Danny Santana ,44,6,2,5,1,0.236,0.285,10,2,0,3,13,0.408,0.693,0.0,0.0,0.0,5355,"1B,CF) FA "
Mario Feliciano ,42,6,2,6,0,0.237,0.276,10,2,0,2,12,0.426,0.701,0.0,0.0,0.0,43664,MIL 
