VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
77,Zach Eflin ,140.5,115,6,0,3.91,1.23,61,136,30,16,25,22,6,0,0.33,0.47,0.2,6146,TB 
78,Pete Fairbanks ,54.9,72,4,17,3.04,1.17,19,43,19,4,55,0,2,0,0.59,0.87,0.31,19909,TB 
79,Camilo Doval ,63.2,71,2,29,3.36,1.33,24,52,29,4,63,0,2,0,0.9,0.96,0.84,43997,SF 
80,Reid Detmers ,151.3,152,12,0,4.30,1.34,72,142,54,20,29,30,12,0,0.58,0.69,0.47,43840,LAA 
81,Kenley Jansen ,57.5,69,2,27,3.66,1.20,23,46,20,6,58,0,2,0,0.92,0.97,0.87,3630,BOS 
82,Tony Gonsolin ,123.0,119,10,0,4.06,1.29,56,112,43,16,24,25,5,0,0.74,0.83,0.65,8518,LAD 
83,Jhoan Duran ,61.6,78,2,12,2.84,1.17,19,48,21,5,58,0,2,0,0.71,0.95,0.46,8034,MIN 
84,Alexis Diaz ,67.9,85,3,23,3.73,1.29,28,53,30,9,67,0,3,0,0.71,0.93,0.5,45001,CIN 
85,Carlos Carrasco ,139.5,131,11,0,4.23,1.32,66,138,41,19,26,28,11,0,0.29,0.44,0.15,3150,NYM 
86,Steven Matz ,121.0,113,10,0,4.01,1.30,54,116,36,16,28,24,5,0,0.07,0.1,0.04,5344,STL 
87,Aaron Civale ,128.8,112,10,0,4.22,1.26,60,124,33,18,24,26,10,0,0.25,0.33,0.16,21649,CLE 
88,Hunter Brown ,108.7,112,4,0,3.45,1.28,42,92,43,9,37,13,4,0,0.55,0.8,0.31,44176,HOU 
89,Garrett Whitlock ,106.0,102,8,0,3.90,1.25,46,101,27,12,25,17,4,0,0.25,0.32,0.18,7916,BOS 
90,Ranger Suarez ,143.3,113,11,0,3.93,1.37,63,140,51,13,27,29,6,0,0.21,0.13,0.29,7247,PHI 
91,David Peterson ,121.0,132,10,0,3.91,1.38,53,110,51,12,32,19,5,0,0.36,0.51,0.21,7275,NYM 
92,Kodai Senga ,139.8,143,11,0,4.22,1.36,66,128,56,18,25,22,6,0,0.83,0.85,0.81,6917,NYM 
93,Taijuan Walker ,151.3,121,12,0,4.27,1.33,72,147,47,21,27,24,12,0,0.22,0.32,0.12,4571,PHI 
94,Paul Sewald ,56.7,70,2,17,3.44,1.13,22,44,17,8,57,0,2,0,0.66,0.84,0.48,6147,SEA 
95,Domingo German ,124.0,107,10,0,4.26,1.26,59,118,33,19,29,20,10,0,0.07,0.08,0.06,5634,NYY 
96,Jesus Luzardo ,140.8,155,6,0,4.04,1.34,63,128,55,16,26,28,11,0,0.85,0.91,0.79,6889,MIA 
97,Jack Flaherty ,135.3,126,11,0,4.17,1.35,63,124,51,18,27,27,5,0,0.45,0.5,0.4,6021,STL 
98,Scott Barlow ,65.0,70,3,23,3.71,1.30,27,59,23,8,64,0,3,0,0.79,0.89,0.69,7351,KC 
99,Michael Wacha ,131.8,110,11,0,4.31,1.29,63,129,36,20,26,26,5,0,0.12,0.15,0.09,4584,SD 
100,Kenta Maeda ,108.8,106,9,0,4.10,1.27,50,102,32,14,26,17,4,0,0.28,0.46,0.1,5939,MIN 
101,David Robertson ,58.0,70,2,22,3.52,1.29,23,46,26,6,57,0,2,0,0.77,0.89,0.66,3283,NYM 
