VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
125,Charlie Blackmon ,333,46,7,39,4,0.268,0.338,89,18,4,29,56,0.407,0.745,0.07,0.07,0.06,4418 d,COL 
126,Jackson Merrill ,325,40,8,39,8,0.262,0.306,85,16,2,20,58,0.395,0.7,0.45,0.6,0.3,44756 ,SD 
127,Anthony Rizzo ,333,45,14,47,2,0.238,0.327,79,14,1,32,74,0.412,0.74,0.49,0.65,0.33,4307 d,NYY 
128,Bryan De La Cruz ,319,40,11,41,3,0.261,0.314,83,17,1,24,80,0.421,0.734,0.49,0.68,0.31,44192 ,MIA 
129,Masyn Winn ,344,45,7,38,11,0.251,0.307,86,17,3,27,71,0.378,0.684,0.14,0.2,0.08,43906 ,STL 
130,Vaughn Grissom ,324,41,6,38,7,0.27,0.335,87,18,2,26,63,0.388,0.723,0.11,0.14,0.09,44905 ,BOS 
131,Rhys Hoskins ,278,41,15,45,2,0.239,0.337,66,15,1,38,78,0.462,0.799,0.54,0.74,0.35,6744 d,MIL 
132,J.D. Martinez ,331,41,14,48,1,0.242,0.308,80,18,1,30,104,0.431,0.739,0.42,0.71,0.12,4339 d,NYM 
133,Brendan Donovan ,320,46,7,37,4,0.265,0.351,85,16,1,35,54,0.388,0.739,0.24,0.31,0.18,45005 ,STL 
134,Andrew Vaughn ,341,41,13,45,1,0.25,0.311,85,18,1,26,77,0.419,0.73,0.14,0.22,0.05,22216 ,CWS 
135,Jonathan India ,301,44,9,38,8,0.25,0.344,75,16,1,35,71,0.403,0.747,0.28,0.46,0.1,6895 d,CIN 
136,Davis Schneider ,308,46,13,44,5,0.232,0.334,71,18,1,43,97,0.428,0.762,0.15,0.23,0.06,45729 ,TOR 
137,Jarred Kelenic ,306,42,11,40,8,0.242,0.316,74,17,1,30,94,0.413,0.729,0.13,0.22,0.05,6884 d,ATL 
138,Kris Bryant ,312,42,11,41,2,0.257,0.337,80,17,1,32,78,0.424,0.76,0.07,0.1,0.05,4934 d,COL 
139,Yainer Diaz ,281,36,11,42,1,0.267,0.303,75,15,1,13,53,0.448,0.751,0.84,0.88,0.79,45200 ,HOU 
140,Giancarlo Stanton ,268,37,18,47,0,0.231,0.308,62,10,0,28,89,0.47,0.778,0.6,0.82,0.38,3783 d,NYY 
141,Alek Thomas ,317,41,8,38,7,0.257,0.31,82,17,4,22,68,0.404,0.715,0.02,0.03,0.02,8265 d,ARI 
142,MJ Melendez ,317,44,13,43,4,0.235,0.318,75,17,3,37,92,0.426,0.743,0.17,0.28,0.06,10031 ,KC 
143,Logan O'Hoppe ,283,38,14,42,1,0.253,0.324,71,12,1,26,70,0.449,0.773,0.42,0.6,0.24,43987 ,LAA 
144,Leody Taveras ,306,40,8,36,11,0.253,0.309,77,16,2,25,71,0.4,0.709,0.09,0.12,0.05,39153 ,TEX 
145,Zack Gelof ,341,43,11,39,13,0.229,0.298,78,16,2,32,114,0.384,0.682,0.28,0.44,0.13,44896 ,OAK 
146,Jordan Westburg ,282,39,10,38,6,0.255,0.321,72,15,2,24,73,0.429,0.75,0.88,0.92,0.85,43831 ,BAL 
147,Nolan Jones ,256,38,10,36,8,0.254,0.344,65,14,2,32,87,0.439,0.783,0.58,0.72,0.43,10128 ,COL 
148,Wyatt Langford ,303,40,9,40,7,0.249,0.324,76,16,2,30,74,0.412,0.736,0.56,0.74,0.39,47238 ,TEX 
149,Harrison Bader ,290,37,8,33,16,0.244,0.3,71,13,1,19,64,0.377,0.677,0.03,0.04,0.02,6480 d,NYM 
150,Ke'Bryan Hayes ,316,40,7,37,8,0.258,0.318,82,17,2,27,67,0.398,0.716,0.41,0.45,0.38,6910 d,PIT 
151,Ryan O'Hearn ,260,35,12,40,2,0.261,0.32,68,12,1,20,58,0.452,0.772,0.24,0.26,0.21,6681 d,BAL 
152,Edouard Julien ,326,49,11,39,6,0.234,0.346,76,16,1,53,118,0.393,0.739,0.25,0.41,0.08,44887 ,MIN 
153,Joc Pederson ,259,38,12,40,1,0.255,0.351,66,13,2,32,67,0.457,0.808,0.07,0.09,0.06,4769 d,ARI 
154,Alex Verdugo ,292,39,8,37,3,0.266,0.329,78,17,1,25,46,0.416,0.745,0.6,0.62,0.58,5983 d,NYY 
155,Evan Carter ,291,42,9,37,9,0.241,0.333,70,14,3,36,85,0.403,0.736,0.62,0.66,0.58,43894 ,TEX 
156,Ty France ,337,41,9,41,1,0.258,0.33,87,18,1,24,69,0.397,0.728,0.1,0.12,0.08,8163 d,SEA 
157,Sal Frelick ,317,41,5,34,10,0.26,0.332,82,15,3,31,58,0.372,0.704,0.1,0.14,0.06,44675 ,MIL 
158,Dairon Blanco ,213,31,4,22,25,0.249,0.308,53,10,2,15,56,0.366,0.673,0.01,0.01,0.0,6839 d,KC 
159,DJ LeMahieu ,342,46,8,38,2,0.252,0.333,86,14,1,40,72,0.371,0.703,0.13,0.17,0.1,4417 d,NYY 
160,Tim Anderson ,337,38,4,30,10,0.267,0.305,90,15,1,17,80,0.352,0.657,0.04,0.07,0.01,4956 d,MIA 
161,Jurickson Profar ,322,43,8,39,4,0.248,0.336,80,17,1,40,61,0.388,0.724,0.91,0.9,0.92,4581 d,SD 
162,Joey Meneses ,338,36,9,43,1,0.257,0.31,87,17,1,23,76,0.393,0.702,0.05,0.05,0.04,43684 ,WSH 
163,Michael Busch ,311,43,12,42,2,0.233,0.313,73,16,1,33,102,0.41,0.724,0.33,0.42,0.25,23859 ,CHC 
164,J.P. Crawford ,357,50,8,37,2,0.247,0.341,88,19,1,48,73,0.373,0.714,0.36,0.27,0.45,4950 d,SEA 
165,Will Benson ,274,42,10,35,14,0.216,0.321,59,13,3,40,104,0.398,0.719,0.08,0.13,0.02,6408 d,CIN 
166,Gabriel Moreno ,293,36,5,36,4,0.272,0.339,80,16,1,27,56,0.39,0.729,0.51,0.45,0.56,44003 ,ARI 
167,Justin Turner ,302,39,9,40,2,0.25,0.322,76,16,0,28,61,0.398,0.72,0.46,0.58,0.34,4261 d,TOR 
168,Joey Ortiz ,298,38,7,36,5,0.258,0.316,77,16,3,24,64,0.402,0.718,0.28,0.42,0.13,45567 ,MIL 
169,Eugenio Suarez ,339,42,13,47,1,0.228,0.314,77,16,1,38,112,0.394,0.709,0.22,0.32,0.12,5332 d,ARI 
170,Alex Kirilloff ,288,37,10,39,1,0.252,0.321,73,14,2,25,75,0.421,0.742,0.04,0.05,0.03,6414 d,MIN 
171,Ryan Jeffers ,271,37,13,40,2,0.236,0.316,64,13,1,26,82,0.439,0.754,0.75,0.82,0.69,8660 d,MIN 
172,Josh Jung ,250,34,11,38,2,0.252,0.305,63,13,1,17,75,0.444,0.749,0.56,0.78,0.33,23130 ,TEX 
173,Andrew Benintendi ,318,38,6,33,7,0.258,0.324,82,16,1,30,55,0.371,0.695,0.07,0.03,0.11,5972 d,CWS 
174,Nolan Schanuel ,297,43,8,33,2,0.255,0.344,76,13,1,37,57,0.387,0.731,0.04,0.05,0.02,47177 ,LAA 
175,Mark Canha ,290,40,8,35,4,0.252,0.354,73,15,1,35,61,0.397,0.751,0.19,0.25,0.14,5670 d,DET 
176,Eloy Jimenez ,231,29,11,35,1,0.268,0.324,62,11,0,18,50,0.456,0.78,0.28,0.34,0.23,5141 d,CWS 
177,Wenceel Perez ,291,40,6,31,10,0.247,0.312,72,13,5,26,62,0.383,0.695,0.07,0.1,0.05,8666 d,DET 
178,Max Muncy ,239,39,14,41,1,0.222,0.344,53,10,1,40,74,0.451,0.794,0.83,0.89,0.76,5207 d,LAD 
179,Jose Caballero ,249,34,5,25,23,0.227,0.316,57,12,1,26,68,0.343,0.659,0.36,0.56,0.17,26984 ,TB 
180,Jonah Heim ,299,36,11,41,2,0.241,0.302,72,15,1,25,62,0.404,0.706,0.67,0.78,0.57,6457 d,TEX 
181,Tyler Freeman ,255,36,5,29,9,0.262,0.333,67,14,1,19,44,0.383,0.716,0.25,0.39,0.12,10024 ,CLE 
182,Whit Merrifield ,268,34,5,29,13,0.252,0.302,68,13,1,18,45,0.362,0.664,0.06,0.08,0.03,6338 d,PHI 
183,Colton Cowser ,290,41,9,38,5,0.234,0.33,68,14,1,37,100,0.384,0.714,0.38,0.49,0.28,44669 ,BAL 
184,Danny Jansen ,237,35,13,38,0,0.238,0.318,57,13,0,24,52,0.458,0.776,0.19,0.25,0.13,7237 d,TOR 
185,Javier Baez ,319,37,8,38,8,0.238,0.28,76,15,2,15,80,0.373,0.653,0.03,0.04,0.02,4606 d,DET 
186,Andrew McCutchen ,293,42,10,34,5,0.236,0.336,69,13,0,42,77,0.388,0.724,0.04,0.06,0.02,3052 d,PIT 
187,Andy Pages ,271,37,11,39,4,0.231,0.306,63,15,1,24,84,0.41,0.717,0.17,0.24,0.11,43671 ,LAD 
188,Tommy Edman ,230,33,5,25,13,0.261,0.318,60,12,2,17,41,0.401,0.719,0.27,0.28,0.25,7752 d,STL 
189,Christian Encarnacion-Strand ,232,31,11,37,1,0.256,0.31,59,12,1,16,67,0.458,0.769,0.3,0.49,0.11,45073 ,CIN 
190,Jesus Sanchez ,267,33,10,36,4,0.249,0.316,66,12,2,24,72,0.42,0.736,0.01,0.01,0.01,6890 d,MIA 
191,Harold Ramirez ,264,31,5,32,5,0.273,0.314,72,13,1,13,51,0.386,0.701,0.02,0.04,0.01,5959 d,TB 
192,TJ Friedl ,233,34,7,28,10,0.25,0.324,58,10,3,22,45,0.405,0.729,0.32,0.37,0.27,8358 d,CIN 
193,Nelson Velazquez ,252,33,12,36,4,0.235,0.302,59,12,1,21,82,0.432,0.734,0.04,0.06,0.02,45006 ,KC 
194,Kyle Isbel ,268,36,7,31,8,0.246,0.301,66,14,2,19,59,0.393,0.693,0.0,0.0,0.0,8285 d,KC 
195,Luis Matos ,268,34,6,30,6,0.261,0.314,70,14,1,18,35,0.388,0.702,0.33,0.44,0.22,43725 ,SF 
196,Jose Abreu ,289,36,9,39,1,0.244,0.312,71,14,1,23,68,0.387,0.699,0.07,0.12,0.03,4594 d,HOU 
197,LaMonte Wade Jr. ,256,38,9,32,2,0.25,0.362,64,11,1,42,60,0.406,0.768,0.12,0.16,0.08,7573 d,SF 
