VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
421,Nicky Lopez ,12,1,0,1,0,0.215,0.275,2,0,0,1,2,0.246,0.521,0.0,0.0,0.0,7530 d,TEX 
422,Brian Serven ,12,1,0,1,0,0.192,0.262,2,0,0,1,4,0.251,0.513,0.0,0.0,0.0,8505 d,ATH 
423,Harry Ford ,12,1,0,1,0,0.183,0.269,2,0,0,1,3,0.244,0.513,0.01,0.01,0.0,45892 ,WSH 
424,Ethan Salas ,12,1,0,1,0,0.205,0.269,2,1,0,1,3,0.287,0.557,0.02,0.03,0.02,46884 ,SD 
425,Brock Rodden ,12,1,0,1,0,0.211,0.278,2,1,0,1,4,0.302,0.58,0.0,0.0,0.0,48036 ,SEA 
426,Jahmai Jones ,8,1,0,1,0,0.179,0.276,1,0,0,1,2,0.251,0.527,0.0,0.0,0.0,6876 d,BOS 
427,Pavin Smith ,8,1,0,1,0,0.168,0.265,1,0,0,1,2,0.23,0.494,0.0,0.0,0.0,6959 d,ARI 
428,Jasson Dominguez ,8,1,0,1,0,0.152,0.242,1,0,0,1,2,0.184,0.426,0.04,0.05,0.02,8513 d,NYY 
429,Christopher Morel ,8,1,0,1,0,0.16,0.249,1,0,0,1,3,0.228,0.477,0.0,0.0,0.0,44057 ,NYM 
430,Oswaldo Cabrera ,4,0,0,0,0,0.228,0.27,1,0,0,0,1,0.273,0.542,0.0,0.0,0.0,8549 d,CIN 
431,Davis Schneider ,4,0,0,0,0,0.16,0.233,1,0,0,0,1,0.315,0.548,0.0,0.0,0.0,45729 ,TOR 
432,Jared Serna ,4,0,0,0,0,0.226,0.245,1,0,0,0,1,0.261,0.506,0.0,0.0,0.0,46865 ,MIA 
433,Billy Cook ,4,0,0,0,0,0.214,0.254,1,0,0,0,1,0.255,0.509,0.0,0.0,0.0,47603 ,PIT 
434,Ben Williamson ,4,0,0,0,0,0.249,0.271,1,0,0,0,1,0.283,0.554,0.0,0.0,0.0,48010 ,TB 
435,Josh Rojas ,4,0,0,0,0,0.168,0.215,1,0,0,0,1,0.235,0.45,0.0,0.0,0.0,26964 ,KC 
436,Jake Rogers ,9,1,0,1,0,0.153,0.239,1,0,0,1,3,0.22,0.459,0.0,0.0,0.0,7321 d,CWS 
437,LaMonte Wade Jr. ,9,1,0,1,0,0.152,0.268,1,0,0,1,3,0.206,0.474,0.0,0.0,0.0,7573 d,HOU 
438,Derek Hill ,9,1,0,1,0,0.167,0.244,1,0,0,1,3,0.229,0.473,0.0,0.0,0.0,10000 ,PHI 
439,Gavin Sheets ,9,1,0,1,0,0.17,0.259,1,0,0,1,2,0.243,0.502,0.05,0.04,0.07,43643 ,SD 
440,Victor Robles ,5,0,0,0,0,0.243,0.278,1,0,0,0,1,0.292,0.57,0.0,0.0,0.0,5978 d,SEA 
441,Riley Adams ,1,0,0,0,0,0.218,0.293,0,0,0,0,0,0.37,0.664,0.0,0.0,0.0,43678 ,WSH 
442,Kevin Alcantara ,1,0,0,0,0,0.228,0.288,0,0,0,0,0,0.356,0.645,0.0,0.0,0.0,43724 ,CHC 
443,Junior Perez ,1,0,0,0,0,0.206,0.274,0,0,0,0,0,0.357,0.63,0.0,0.0,0.0,44022 ,CWS 
444,Tanner Murray ,1,0,0,0,0,0.241,0.287,0,0,0,0,0,0.365,0.652,0.0,0.0,0.0,44449 ,CWS 
445,Trey Lipscomb ,1,0,0,0,0,0.232,0.273,0,0,0,0,0,0.348,0.621,0.0,0.0,0.0,46555 ,WSH 
446,Jack Winkler ,1,0,0,0,0,0.218,0.273,0,0,0,0,0,0.327,0.599,0.0,0.0,0.0,7354128,ATH 
447,Tim Elko ,1,0,0,0,0,0.228,0.281,0,0,0,0,0,0.375,0.656,0.0,0.0,0.0,47613 ,CWS 
