Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
Michael Tonkin ,51.8,53,3,0,4.40,1.28,25,47,19,8,50,0,3,0,5364 d,NYM 
Woo-Suk Go ,59.9,67,2,3,4.16,1.38,28,53,30,7,60,0,2,0,48284 ,SD 
Sixto Sanchez ,41.3,39,2,0,3.80,1.26,17,40,12,4,38,1,2,0,6981 d,MIA 
Hayden Wesneski ,57.3,53,3,0,4.35,1.30,28,55,20,8,26,6,3,0,44900 ,CHC 
Nick Anderson ,52.6,47,3,1,4.32,1.30,25,53,16,8,54,0,3,0,8164 d,KC 
Isaiah Campbell ,49.2,48,4,0,4.21,1.37,23,48,20,6,51,0,3,0,38329 ,BOS 
Bowden Francis ,52.9,52,3,0,4.46,1.28,26,49,19,9,37,4,3,0,44015 ,TOR 
Connor Brogdon ,49.9,51,3,0,4.29,1.31,24,46,19,7,51,0,2,0,8569 d,PHI 
Tyler Alexander ,51.7,45,3,0,4.47,1.25,26,52,13,8,38,3,3,0,8681 d,TB 
Michael Grove ,47.5,50,3,0,4.36,1.29,23,46,15,7,37,3,2,0,43947 ,LAD 
Alex Faedo ,49.5,49,2,0,4.28,1.25,24,46,15,7,44,1,3,0,6793 d,DET 
Chris Stratton ,66.0,61,3,0,4.32,1.35,32,65,24,8,62,0,3,0,4794 d,KC 
Dylan Floro ,55.5,49,3,1,4.23,1.34,26,57,18,6,57,0,4,0,6430 d,WSH 
Zack Greinke ,97.6,65,5,0,4.69,1.34,51,109,22,16,19,19,6,0,4032 d,SP) FA 
Luke Little ,42.0,52,2,0,3.75,1.37,17,34,24,4,45,0,2,0,44602 ,CHC 
Genesis Cabrera ,56.8,57,3,0,4.29,1.35,27,52,25,8,58,0,3,0,8037 d,TOR 
Ricky Tiedemann ,43.6,48,2,0,3.97,1.31,19,38,19,6,12,8,3,0,45344 ,TOR 
Jesse Chavez ,55.2,55,2,1,4.18,1.33,26,53,20,8,56,0,2,0,3505 d,CWS 
Cionel Perez ,55.6,51,3,0,3.95,1.40,24,52,26,5,59,0,3,0,6631 d,BAL 
Hyun Jin Ryu ,49.2,36,4,0,4.29,1.32,23,53,12,7,13,9,4,0,4641 d,SP) FA 
Shelby Miller ,53.6,55,3,1,4.34,1.35,26,47,25,7,53,0,3,0,3934 d,DET 
Erick Fedde ,139.3,117,7,0,4.88,1.40,76,145,50,23,26,26,10,0,6029 d,CWS 
Keegan Akin ,41.4,43,2,0,4.04,1.27,19,39,14,5,37,0,2,0,39140 ,BAL 
Ronel Blanco ,62.3,65,4,0,4.47,1.39,31,58,29,10,53,2,3,0,44184 ,HOU 
Jacob Webb ,56.2,57,3,0,4.32,1.35,27,51,25,8,56,0,3,0,8371 d,BAL 
