Team,batter,player_name
DET,408234,Miguel Cabrera
DET,543484,Mikie Mahtook
DET,592206,Nicholas Castellanos
DET,592348,Niko Goodrum
DET,500135,Ronny Rodriguez
MIN,621439,Byron Buxton
MIN,543068,C.J. Cron
MIN,592696,Eddie Rosario
MIN,501303,Ehire Adrianza
MIN,595909,Jake Cave
MIN,543606,Jake Odorizzi
MIN,488771,Jason Castro
MIN,570731,Jonathan Schoop
MIN,593871,Jorge Polanco
MIN,621244,Jose Berrios
MIN,502043,Kyle Gibson
MIN,527048,Martin Perez
MIN,503556,Marwin Gonzalez
MIN,596146,Max Kepler
MIN,501381,Michael Pineda
MIN,641598,Mitch Garver
MIN,443558,Nelson Cruz
MIN,592122,Tyler Austin
MIN,553902,Willians Astudillo
CWS,641553,Adam Engel
CWS,594953,Daniel Palka
CWS,650391,Eloy Jimenez
CWS,543510,James McCann
CWS,547989,Jose Abreu
CWS,602922,Jose Rondon
CWS,544725,Leury Garcia
CWS,641477,Ryan Cordell
CWS,641313,Tim Anderson
CWS,456078,Welington Castillo
CWS,660162,Yoan Moncada
CWS,570560,Yolmer Sanchez
CWS,475174,Yonder Alonso
NYY,592450,Aaron Judge
NYY,519222,Austin Romine
NYY,458731,Brett Gardner
NYY,640449,Clint Frazier
NYY,518934,DJ LeMahieu
NYY,596142,Gary Sanchez
NYY,519317,Giancarlo Stanton
NYY,570482,Gio Urshela
NYY,650402,Gleyber Torres
NYY,595885,Greg Bird
NYY,543309,Kyle Higashioka
NYY,572228,Luke Voit
NYY,609280,Miguel Andujar
NYY,643565,Mike Tauchman
NYY,453064,Troy Tulowitzki
NYY,642180,Tyler Wade
