Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,PlayerId,Team
Jake Fraley ,345,50,14,53,15,0.252,0.335,87,17,1,43,86,0.434,0.769,8083 d,CIN 
Brenton Doyle ,451,58,15,53,19,0.233,0.275,105,19,4,26,161,0.389,0.663,45599 ,COL 
Seth Brown ,428,53,21,63,6,0.232,0.296,99,22,2,39,127,0.436,0.732,30700 ,OAK 
Michael Conforto ,432,59,16,59,3,0.247,0.333,107,21,0,55,110,0.405,0.738,5812 d,SF 
Mitch Haniger ,430,59,20,63,1,0.233,0.296,100,19,1,38,123,0.421,0.717,6481 d,SEA 
Hunter Renfroe ,416,54,19,60,1,0.246,0.305,102,24,0,35,99,0.441,0.746,4959 d,KC 
Mitch Garver ,395,55,21,60,1,0.235,0.324,93,17,0,52,118,0.439,0.763,6239 d,SEA 
Nolan Schanuel ,419,67,11,48,3,0.263,0.359,110,19,2,63,79,0.397,0.756,47177 ,LAA 
Colt Keith ,439,57,14,58,3,0.253,0.315,111,24,3,40,110,0.42,0.735,43891 ,DET 
DJ LeMahieu ,482,65,12,52,3,0.255,0.334,123,20,2,57,103,0.377,0.711,4417 d,NYY 
Ramon Laureano ,419,57,15,54,13,0.233,0.296,98,22,2,38,126,0.403,0.699,6740 d,CLE 
Jackson Holliday ,429,61,9,50,9,0.258,0.342,111,22,3,55,108,0.385,0.727,46268 ,BAL 
Anthony Rendon ,401,56,13,56,3,0.256,0.346,103,23,1,55,79,0.414,0.76,4291 d,LAA 
Masyn Winn ,453,61,10,51,14,0.245,0.301,111,20,4,36,97,0.372,0.673,43906 ,STL 
LaMonte Wade Jr. ,415,61,16,54,3,0.243,0.343,101,18,2,63,94,0.413,0.755,7573 d,SF 
Gavin Lux ,405,60,10,49,8,0.259,0.332,105,20,4,44,94,0.398,0.731,7421 d,LAD 
Jesus Sanchez ,404,52,17,57,3,0.248,0.315,100,19,3,39,116,0.437,0.751,6890 d,MIA 
Ryan O'Hearn ,367,48,16,56,3,0.257,0.302,94,18,1,24,96,0.442,0.745,6681 d,BAL 
Mike Yastrzemski ,421,61,17,57,4,0.231,0.316,97,25,2,53,123,0.422,0.738,8467 d,SF 
Willi Castro ,386,54,10,42,21,0.247,0.297,95,18,3,28,101,0.388,0.685,5997 d,MIN 
Luis Campusano ,413,51,14,56,1,0.258,0.308,107,19,1,30,80,0.411,0.719,7455 d,SD 
Harrison Bader ,378,51,11,45,19,0.243,0.291,92,17,2,25,81,0.387,0.678,6480 d,NYM 
Adam Duvall ,371,49,21,60,3,0.224,0.277,83,18,1,27,126,0.45,0.727,5317 d,"CF,RF) FA "
Matt Wallner ,390,56,17,57,3,0.231,0.317,90,21,2,49,151,0.426,0.743,43696 ,MIN 
Henry Davis ,385,52,14,51,8,0.243,0.324,94,19,2,46,104,0.408,0.733,44666 ,PIT 
Parker Meadows ,461,61,13,51,13,0.228,0.297,105,20,6,45,124,0.379,0.676,7993 d,DET 
Alex Kirilloff ,363,48,14,52,2,0.262,0.322,95,18,1,32,94,0.43,0.752,6414 d,MIN 
Andrew McCutchen ,400,56,13,50,8,0.241,0.34,97,20,1,60,101,0.391,0.732,3052 d,PIT 
Ryan Noda ,443,64,18,54,6,0.217,0.328,96,21,1,73,173,0.385,0.713,44240 ,OAK 
Nelson Velazquez ,354,48,18,52,7,0.234,0.295,83,17,1,31,118,0.44,0.735,45006 ,KC 
Luke Raley ,365,51,17,51,9,0.23,0.288,84,16,2,30,128,0.415,0.703,8040 d,SEA 
Wilyer Abreu ,361,52,13,49,9,0.243,0.333,88,19,1,49,108,0.41,0.743,45630 ,BOS 
Hunter Goodman ,329,44,16,54,2,0.251,0.302,83,20,2,24,98,0.472,0.774,45393 ,COL 
J.D. Davis ,404,53,14,54,1,0.249,0.326,100,19,1,47,131,0.409,0.735,6148 d,SF 
Chris Taylor ,366,53,13,50,11,0.231,0.311,85,19,2,42,132,0.401,0.712,4888 d,LAD 
Whit Merrifield ,374,49,7,42,17,0.259,0.305,97,19,1,25,69,0.376,0.68,6338 d,PHI 
Carlos Santana ,416,54,16,57,3,0.23,0.322,96,19,1,57,85,0.395,0.717,3162 d,MIN 
Will Benson ,347,55,13,45,15,0.226,0.33,78,16,4,54,128,0.407,0.737,6408 d,CIN 
Michael Massey ,395,48,13,52,6,0.249,0.295,98,22,1,26,93,0.413,0.708,45756 ,KC 
Danny Jansen ,315,46,18,54,1,0.237,0.305,75,16,0,31,74,0.465,0.77,7237 d,TOR 
Rowdy Tellez ,359,44,17,56,1,0.242,0.316,87,16,1,39,85,0.437,0.753,5030 d,PIT 
Jordan Westburg ,370,50,12,48,6,0.251,0.312,93,21,2,33,100,0.416,0.728,43831 ,BAL 
Eddie Rosario ,372,45,14,52,5,0.247,0.297,92,17,2,27,87,0.412,0.709,4556 d,"LF,RF) FA "
Jon Berti ,364,49,6,34,22,0.258,0.323,94,16,3,35,82,0.369,0.692,6776 d,MIA 
Elehuris Montero ,344,45,15,51,1,0.253,0.302,87,18,1,24,108,0.447,0.749,39212 ,COL 
Mickey Moniak ,385,48,16,49,6,0.235,0.272,91,18,4,20,130,0.424,0.695,8368 d,LAA 
Brice Turang ,409,51,8,43,19,0.241,0.309,98,18,3,41,93,0.356,0.665,6817 d,MIL 
Brett Baty ,393,51,14,51,3,0.24,0.308,94,17,0,38,118,0.391,0.699,20757 ,NYM 
Tyler Stephenson ,368,49,12,49,1,0.256,0.324,94,19,1,37,103,0.407,0.732,6024 d,CIN 
Bo Naylor ,360,50,15,51,6,0.228,0.324,82,18,2,51,103,0.413,0.737,7925 d,CLE 
Davis Schneider ,326,48,15,48,5,0.233,0.329,76,18,1,47,104,0.438,0.767,45729 ,TOR 
Amed Rosario ,346,46,6,40,10,0.273,0.308,94,16,4,18,66,0.396,0.705,5994 d,TB 
Matt Vierling ,381,49,9,40,8,0.257,0.316,98,18,3,33,86,0.388,0.704,10043 ,DET 
Edward Olivares ,322,43,10,39,10,0.262,0.31,84,17,2,22,63,0.421,0.731,7536 d,PIT 
Shea Langeliers ,397,47,18,53,3,0.222,0.281,88,18,2,33,124,0.414,0.695,8246 d,OAK 
Pete Crow-Armstrong ,299,44,9,37,15,0.249,0.303,75,14,3,23,91,0.405,0.709,23369 ,CHC 
Elias Diaz ,378,43,12,50,1,0.253,0.304,96,19,1,28,90,0.41,0.714,5591 d,COL 
Kyle Manzardo ,355,46,14,51,1,0.237,0.319,84,22,1,43,85,0.422,0.741,44758 ,CLE 
Joey Gallo ,358,52,22,54,3,0.188,0.306,67,12,1,61,162,0.413,0.719,4711 d,WSH 
Junior Caminero ,286,38,12,43,3,0.266,0.317,76,11,2,22,64,0.438,0.755,45016 ,TB 
Kyle Isbel ,348,47,9,40,10,0.246,0.3,86,20,3,27,80,0.394,0.694,8285 d,KC 
Kevin Kiermaier ,363,49,8,40,11,0.244,0.3,89,19,4,29,92,0.38,0.68,5131 d,TOR 
Dylan Carlson ,337,47,10,43,4,0.251,0.326,85,19,2,38,76,0.407,0.733,6407 d,STL 
Jason Heyward ,328,46,12,43,3,0.246,0.313,81,17,1,32,70,0.411,0.724,3459 d,LAD 
Liover Peguero ,371,44,9,41,13,0.242,0.288,90,17,2,24,96,0.372,0.66,43656 ,PIT 
Johan Rojas ,320,42,5,34,20,0.253,0.291,81,15,3,17,75,0.369,0.66,44203 ,PHI 
C.J. Cron ,317,41,15,48,0,0.241,0.301,76,14,1,27,89,0.428,0.728,4688 d,1B) FA 
Michael A. Taylor ,346,44,13,44,9,0.229,0.285,79,13,1,27,115,0.389,0.674,5442 d,CF) FA 
Michael Busch ,341,46,13,46,2,0.237,0.311,81,18,1,37,104,0.408,0.719,23859 ,CHC 
Patrick Wisdom ,285,41,18,47,5,0.211,0.289,60,11,0,31,116,0.447,0.736,6255 d,CHC 
Ryan Jeffers ,319,43,15,45,2,0.234,0.309,75,14,1,34,101,0.425,0.733,8660 d,MIN 
Sean Bouchard ,270,40,11,38,6,0.254,0.336,69,16,2,34,83,0.457,0.793,45512 ,COL 
JJ Bleday ,401,51,15,49,5,0.211,0.31,85,20,2,58,114,0.379,0.689,24863 ,OAK 
Brayan Rocchio ,370,46,6,41,10,0.248,0.305,92,21,2,31,75,0.367,0.672,8305 d,CLE 
Alejandro Kirk ,316,39,10,42,0,0.268,0.344,85,16,0,37,41,0.411,0.755,43675 ,TOR 
Marco Luciano ,408,49,13,48,5,0.221,0.296,90,18,1,43,140,0.367,0.663,8025 d,SF 
Brandon Belt ,292,43,15,42,1,0.229,0.332,67,14,1,45,108,0.434,0.766,3107 d,"1B,DH) FA "
Victor Robles ,332,43,7,33,16,0.241,0.297,80,17,2,26,84,0.364,0.661,5978 d,WSH 
Mark Vientos ,320,39,14,46,1,0.235,0.293,75,14,1,26,100,0.42,0.713,6940 d,NYM 
Jake Meyers ,333,44,10,41,6,0.237,0.296,79,16,1,28,95,0.385,0.681,10160 ,HOU 
Myles Straw ,383,48,2,31,18,0.248,0.315,95,17,2,38,75,0.316,0.631,7628 d,CLE 
Geraldo Perdomo ,353,51,5,35,12,0.238,0.327,84,15,3,47,77,0.341,0.669,43732 ,ARI 
Yan Gomes ,336,38,10,44,1,0.252,0.289,85,16,1,18,72,0.393,0.682,4522 d,CHC 
Nick Senzel ,363,46,9,39,8,0.235,0.295,85,16,1,31,82,0.358,0.653,6475 d,WSH 
Travis d'Arnaud ,291,38,12,42,0,0.248,0.299,72,15,1,21,73,0.424,0.723,4099 d,ATL 
Isiah Kiner-Falefa ,332,40,4,33,14,0.256,0.304,85,14,1,23,59,0.346,0.651,7662 d,TOR 
Joey Ortiz ,322,41,7,38,5,0.256,0.305,82,18,2,23,71,0.391,0.696,45567 ,MIL 
Jordan Lawlar ,279,40,7,32,13,0.244,0.308,68,13,2,26,78,0.385,0.693,44664 ,ARI 
Rene Pinto ,353,39,14,47,2,0.224,0.263,79,18,1,18,119,0.398,0.66,43755 ,TB 
Tyrone Taylor ,278,37,11,39,7,0.233,0.276,65,14,2,17,71,0.417,0.693,7578 d,NYM 
Aaron Hicks ,333,46,10,38,6,0.228,0.328,76,12,1,49,92,0.361,0.688,4483 d,LAA 
Joshua Palacios ,274,35,8,35,7,0.258,0.31,71,12,1,21,60,0.405,0.715,43676 ,PIT 
Austin Wells ,289,37,12,41,4,0.23,0.3,67,15,1,29,82,0.411,0.711,43803 ,NYY 
Harold Ramirez ,266,33,6,36,3,0.282,0.318,75,14,1,14,50,0.416,0.734,5959 d,TB 
Trent Grisham ,274,41,12,36,8,0.218,0.314,60,13,1,39,88,0.401,0.715,7502 d,NYY 
Jake Rogers ,313,40,15,44,2,0.214,0.278,67,12,1,28,111,0.407,0.685,7321 d,DET 
Cavan Biggio ,322,47,9,39,5,0.226,0.322,73,16,1,46,99,0.368,0.691,4988 d,TOR 
Stone Garrett ,275,35,12,38,5,0.235,0.286,65,14,1,20,89,0.418,0.704,44049 ,WSH 
Connor Wong ,318,40,10,37,6,0.235,0.281,75,18,1,20,106,0.395,0.676,8335 d,BOS 
Connor Joe ,315,43,9,35,4,0.242,0.328,76,17,2,41,81,0.391,0.719,7302 d,PIT 
Jurickson Profar ,359,46,8,39,3,0.237,0.318,85,19,1,43,70,0.365,0.683,4581 d,SD 
Mauricio Dubon ,285,38,7,33,5,0.261,0.3,74,14,1,16,45,0.384,0.684,6615 d,HOU 
Robbie Grossman ,320,44,9,39,5,0.227,0.325,73,16,1,46,92,0.37,0.695,4795 d,"DH,LF,RF) FA "
Avisail Garcia ,305,35,11,39,4,0.238,0.289,73,12,1,22,94,0.39,0.679,4140 d,MIA 
Ezequiel Duran ,263,34,9,34,6,0.252,0.295,66,14,1,16,75,0.422,0.717,43722 ,TEX 
Manuel Margot ,251,33,6,32,7,0.266,0.315,67,14,1,18,45,0.397,0.711,5888 d,LAD 
Ji Hwan Bae ,275,39,3,26,16,0.25,0.315,69,14,2,26,68,0.351,0.666,10183 ,PIT 
Gio Urshela ,279,32,7,34,2,0.274,0.317,76,14,1,18,55,0.408,0.725,5595 d,DET 
Dominic Fletcher ,356,42,8,38,4,0.236,0.293,84,16,3,29,95,0.366,0.659,8319 d,CWS 
Adam Frazier ,290,37,4,31,7,0.262,0.317,76,16,2,23,42,0.373,0.691,6243 d,KC 
Patrick Bailey ,363,41,9,43,2,0.23,0.292,83,18,1,32,105,0.361,0.654,8299 d,SF 
Jose Caballero ,245,36,5,27,20,0.225,0.316,55,11,1,33,65,0.346,0.662,26984 ,TB 
Garrett Cooper ,275,33,10,37,0,0.25,0.313,69,13,1,25,85,0.411,0.724,7279 d,CHC 
Drew Waters ,260,36,7,29,11,0.24,0.304,62,13,3,24,87,0.398,0.702,7224 d,KC 
Zach McKinstry ,299,39,7,30,9,0.238,0.305,71,14,3,29,73,0.377,0.682,10153 ,DET 
Nick Madrigal ,279,35,2,27,7,0.279,0.318,78,14,2,16,30,0.363,0.681,6954 d,CHC 
Darell Hernaiz ,322,37,5,32,8,0.248,0.297,80,16,2,22,60,0.357,0.654,46454 ,OAK 
Kike Hernandez ,308,38,9,38,2,0.234,0.294,72,17,1,26,66,0.377,0.671,5522 d,"1B,2B,3B,CF,LF,SS) FA "
Jo Adell ,252,33,12,36,4,0.223,0.279,56,12,1,19,92,0.423,0.702,6899 d,LAA 
Luis Urias ,302,40,10,37,2,0.225,0.309,68,14,1,36,80,0.379,0.687,6936 d,SEA 
Gary Sanchez ,255,33,14,40,1,0.212,0.29,54,10,0,28,81,0.421,0.711,4670 d,MIL 
Jonny DeLuca ,258,33,10,34,5,0.232,0.291,60,13,1,21,60,0.406,0.697,45829 ,TB 
Joey Votto ,304,37,13,43,0,0.212,0.304,64,13,1,41,98,0.386,0.69,3535 d,1B) FA 
Randal Grichuk ,266,33,10,34,1,0.245,0.289,65,14,1,16,63,0.412,0.7,5423 d,ARI 
Nick Fortes ,295,36,9,33,5,0.234,0.287,69,12,1,22,59,0.371,0.658,8673 d,MIA 
Jose Azocar ,297,34,5,28,15,0.235,0.273,70,13,2,16,78,0.341,0.614,9972 d,SD 
Garrett Mitchell ,256,33,7,29,10,0.237,0.304,61,11,2,25,88,0.375,0.679,6859 d,MIL 
Austin Slater ,233,34,7,27,7,0.251,0.329,58,11,1,27,72,0.395,0.724,7070 d,SF 
Mike Tauchman ,257,38,6,29,5,0.239,0.336,62,13,1,37,71,0.363,0.699,7084 d,CHC 
Paul DeJong ,302,35,13,38,4,0.206,0.264,62,12,0,24,100,0.381,0.644,7111 d,CWS 
Akil Baddoo ,236,33,7,26,11,0.233,0.318,55,10,3,30,65,0.39,0.708,7862 d,DET 
Ramon Urias ,272,33,7,32,2,0.249,0.306,68,14,1,22,73,0.382,0.688,8377 d,BAL 
Brandon Crawford ,265,33,8,35,3,0.234,0.302,62,12,1,26,71,0.381,0.683,4461 d,SS) FA 
Donovan Solano ,277,32,5,30,0,0.27,0.326,75,16,0,23,66,0.38,0.706,4591 d,"1B,2B,3B) FA "
Estevan Florial ,244,33,8,29,10,0.223,0.302,54,12,1,27,90,0.385,0.687,6852 d,CLE 
Lawrence Butler ,272,32,8,31,7,0.232,0.287,63,13,1,21,79,0.379,0.666,45753 ,OAK 
Adalberto Mondesi ,210,29,6,23,19,0.222,0.263,46,9,2,12,71,0.369,0.632,5860 d,SS) FA 
Elvis Andrus ,252,31,5,28,8,0.249,0.297,63,13,1,17,47,0.368,0.665,3324 d,"2B,SS) FA "
Christian Bethancourt ,254,31,9,31,2,0.241,0.277,61,12,0,13,68,0.393,0.67,4767 d,MIA 
Joey Wiemer ,231,31,8,29,8,0.225,0.293,52,11,1,22,72,0.389,0.682,44593 ,MIL 
Tyler Black ,213,31,5,25,11,0.238,0.328,51,11,3,29,55,0.385,0.713,44733 ,MIL 
Nicky Lopez ,328,40,2,25,11,0.241,0.305,79,12,2,30,57,0.308,0.613,7530 d,CWS 
Josh Rojas ,267,35,5,28,9,0.234,0.307,62,13,1,28,68,0.349,0.656,26964 ,SEA 
Gavin Sheets ,255,28,10,34,1,0.235,0.301,60,11,0,24,59,0.402,0.704,43643 ,CWS 
Jesse Winker ,248,33,8,31,0,0.243,0.347,60,12,0,40,57,0.387,0.734,5719 d,WSH 
Andy Ibanez ,243,29,7,29,2,0.254,0.307,62,14,1,19,46,0.4,0.707,6676 d,DET 
Gabriel Arias ,260,32,8,31,3,0.234,0.293,61,12,1,22,80,0.384,0.677,10084 ,CLE 
Taylor Walls ,277,37,7,29,12,0.207,0.301,57,13,2,37,81,0.338,0.639,43756 ,TB 
Rob Refsnyder ,210,30,5,26,4,0.261,0.345,55,12,1,27,56,0.391,0.737,5673 d,BOS 
Oswald Peraza ,214,28,7,25,9,0.239,0.293,51,9,1,16,54,0.382,0.675,43749 ,NYY 
Jorge Mateo ,194,28,5,20,16,0.234,0.277,45,9,2,12,52,0.375,0.652,5971 d,BAL 
Ceddanne Rafaela ,190,26,5,24,8,0.258,0.292,49,11,2,9,48,0.42,0.712,45510 ,BOS 
