Team,pitcher,player_name
DET,641729,Joe Jimenez
DET,519455,Jordan Zimmermann
DET,519043,Matt Moore
DET,571510,Matthew Boyd
DET,657585,Reed Garrett
DET,572888,Shane Greene
DET,605513,Spencer Turnbull
DET,475115,Tyson Ross
DET,622505,Victor Alcantara
MIN,606167,Adalberto Mejia
MIN,607755,Andrew Vasquez
MIN,453284,Blake Parker
MIN,608328,Chase De Jong
MIN,543606,Jake Odorizzi
MIN,621244,Jose Berrios
MIN,502043,Kyle Gibson
MIN,527048,Martin Perez
MIN,501381,Michael Pineda
MIN,607560,Ryne Harper
MIN,573124,Taylor Rogers
MIN,657610,Trevor Hildenberger
MIN,543507,Trevor May
CWS,517008,Alex Colome
CWS,621350,Caleb Frare
CWS,607074,Carlos Rodon
CWS,608334,Carson Fulmer
CWS,592229,Dylan Covey
CWS,429722,Ervin Santana
CWS,467100,Ivan Nova
CWS,605240,Jace Fry
CWS,614179,Jose Ruiz
CWS,516969,Kelvin Herrera
CWS,608337,Lucas Giolito
CWS,544365,Manny Banuelos
CWS,518858,Nate Jones
CWS,625643,Reynaldo Lopez
CWS,621114,Ryan Burr
NYY,493603,Adam Ottavino
NYY,547973,Aroldis Chapman
NYY,282332,CC Sabathia
NYY,643338,Chad Green
NYY,593334,Domingo German
NYY,457918,J.A. Happ
NYY,572020,James Paxton
NYY,642840,Joe Harvey
NYY,656547,Jonathan Holder
NYY,642528,Jonathan Loaisiga
NYY,570666,Luis Cessa
NYY,547888,Masahiro Tanaka
NYY,605501,Stephen Tarpley
NYY,592454,Tommy Kahnle
NYY,502154,Zack Britton
